Start date/time,End date/time,Residential load [kW],PV generation [kW],Electricity price [€/MWh],Marginal emission factor [kg CO2eq/MWh]
2021-07-07 00:00:00,2021-07-07 00:15:00,0.36722,0.0,0.04771,0.38580255
2021-07-07 00:15:00,2021-07-07 00:30:00,0.34986,0.0,0.04771,0.38580255
2021-07-07 00:30:00,2021-07-07 00:45:00,0.33334,0.0,0.04771,0.38580255
2021-07-07 00:45:00,2021-07-07 01:00:00,0.31794,0.0,0.04771,0.38580255
2021-07-07 01:00:00,2021-07-07 01:15:00,0.30296,0.0,0.0458,0.365847246
2021-07-07 01:15:00,2021-07-07 01:30:00,0.28713999999999995,0.0,0.0458,0.365847246
2021-07-07 01:30:00,2021-07-07 01:45:00,0.27132,0.0,0.0458,0.365847246
2021-07-07 01:45:00,2021-07-07 02:00:00,0.25648,0.0,0.0458,0.365847246
2021-07-07 02:00:00,2021-07-07 02:15:00,0.24598,0.0,0.0416,0.813266583
2021-07-07 02:15:00,2021-07-07 02:30:00,0.238,0.0,0.0416,0.813266583
2021-07-07 02:30:00,2021-07-07 02:45:00,0.23142,0.0,0.0416,0.813266583
2021-07-07 02:45:00,2021-07-07 03:00:00,0.22498,0.0,0.0416,0.813266583
2021-07-07 03:00:00,2021-07-07 03:15:00,0.21839999999999998,0.0,0.0414,0.813266583
2021-07-07 03:15:00,2021-07-07 03:30:00,0.21182,0.0,0.0414,0.813266583
2021-07-07 03:30:00,2021-07-07 03:45:00,0.20566,0.0,0.0414,0.813266583
2021-07-07 03:45:00,2021-07-07 04:00:00,0.2016,0.0,0.0414,0.813266583
2021-07-07 04:00:00,2021-07-07 04:15:00,0.20006000000000002,0.0,0.04539,0.365847246
2021-07-07 04:15:00,2021-07-07 04:30:00,0.19921999999999998,0.0,0.04539,0.365847246
2021-07-07 04:30:00,2021-07-07 04:45:00,0.19712000000000002,0.0,0.04539,0.365847246
2021-07-07 04:45:00,2021-07-07 05:00:00,0.19446000000000002,0.0,0.04539,0.365847246
2021-07-07 05:00:00,2021-07-07 05:15:00,0.19264,0.0,0.0446,0.359646445
2021-07-07 05:15:00,2021-07-07 05:30:00,0.19236,0.0,0.0446,0.359646445
2021-07-07 05:30:00,2021-07-07 05:45:00,0.19347999999999999,0.0,0.0446,0.359646445
2021-07-07 05:45:00,2021-07-07 06:00:00,0.19502,0.003362237762237762,0.0446,0.359646445
2021-07-07 06:00:00,2021-07-07 06:15:00,0.19796,0.011817249417249414,0.0414,0.813266583
2021-07-07 06:15:00,2021-07-07 06:30:00,0.2009,0.021768764568764566,0.0414,0.813266583
2021-07-07 06:30:00,2021-07-07 06:45:00,0.20356,0.03669277389277389,0.0414,0.813266583
2021-07-07 06:45:00,2021-07-07 07:00:00,0.20607999999999999,0.05988251748251748,0.0414,0.813266583
2021-07-07 07:00:00,2021-07-07 07:15:00,0.2107,0.09764102564102564,0.0414,0.813266583
2021-07-07 07:15:00,2021-07-07 07:30:00,0.21952,0.1433006993006993,0.0414,0.813266583
2021-07-07 07:30:00,2021-07-07 07:45:00,0.23338000000000003,0.17558601398601395,0.0414,0.813266583
2021-07-07 07:45:00,2021-07-07 08:00:00,0.25157999999999997,0.20808857808857809,0.0414,0.813266583
2021-07-07 08:00:00,2021-07-07 08:15:00,0.27118,0.23459766899766898,0.04349,0.830946292
2021-07-07 08:15:00,2021-07-07 08:30:00,0.2919,0.2794386946386946,0.04349,0.830946292
2021-07-07 08:30:00,2021-07-07 08:45:00,0.31108,0.3044363636363636,0.04349,0.830946292
2021-07-07 08:45:00,2021-07-07 09:00:00,0.33165999999999995,0.38684475524475526,0.04349,0.830946292
2021-07-07 09:00:00,2021-07-07 09:15:00,0.35252,0.4188997668997669,0.04752,0.38580255
2021-07-07 09:15:00,2021-07-07 09:30:00,0.37589999999999996,0.459397668997669,0.04752,0.38580255
2021-07-07 09:30:00,2021-07-07 09:45:00,0.39648,0.45057715617715616,0.04752,0.38580255
2021-07-07 09:45:00,2021-07-07 10:00:00,0.41272,0.5201454545454545,0.04752,0.38580255
2021-07-07 10:00:00,2021-07-07 10:15:00,0.42028,0.5021146853146853,0.057120000000000004,0.47153645
2021-07-07 10:15:00,2021-07-07 10:30:00,0.4214,0.6141417249417249,0.057120000000000004,0.47153645
2021-07-07 10:30:00,2021-07-07 10:45:00,0.41706000000000004,0.6162564102564102,0.057120000000000004,0.47153645
2021-07-07 10:45:00,2021-07-07 11:00:00,0.41286,0.5959841491841491,0.057120000000000004,0.47153645
2021-07-07 11:00:00,2021-07-07 11:15:00,0.41034,0.6621510489510489,0.0499,0.40036113700000003
2021-07-07 11:15:00,2021-07-07 11:30:00,0.41076,0.725532867132867,0.0499,0.40036113700000003
2021-07-07 11:30:00,2021-07-07 11:45:00,0.41398,0.7499599067599068,0.0499,0.40036113700000003
2021-07-07 11:45:00,2021-07-07 12:00:00,0.42013999999999996,0.7663067599067599,0.0499,0.40036113700000003
2021-07-07 12:00:00,2021-07-07 12:15:00,0.42601999999999995,0.7565855477855478,0.05155,0.416061574
2021-07-07 12:15:00,2021-07-07 12:30:00,0.4298,0.678195804195804,0.05155,0.416061574
2021-07-07 12:30:00,2021-07-07 12:45:00,0.42994000000000004,0.684532400932401,0.05155,0.416061574
2021-07-07 12:45:00,2021-07-07 13:00:00,0.43050000000000005,0.7430750582750583,0.05155,0.416061574
2021-07-07 13:00:00,2021-07-07 13:15:00,0.42728,0.8434144522144522,0.05088,0.40806039
2021-07-07 13:15:00,2021-07-07 13:30:00,0.42210000000000003,0.8397454545454546,0.05088,0.40806039
2021-07-07 13:30:00,2021-07-07 13:45:00,0.41566,0.8447151515151514,0.05088,0.40806039
2021-07-07 13:45:00,2021-07-07 14:00:00,0.41286,0.8744018648018648,0.05088,0.40806039
2021-07-07 14:00:00,2021-07-07 14:15:00,0.41215999999999997,0.791283916083916,0.05347999999999999,0.416061574
2021-07-07 14:15:00,2021-07-07 14:30:00,0.40922,0.8368783216783215,0.05347999999999999,0.416061574
2021-07-07 14:30:00,2021-07-07 14:45:00,0.40459999999999996,0.7846648018648018,0.05347999999999999,0.416061574
2021-07-07 14:45:00,2021-07-07 15:00:00,0.3983,0.4979906759906759,0.05347999999999999,0.416061574
2021-07-07 15:00:00,2021-07-07 15:15:00,0.39354,0.6616093240093239,0.04822,0.38580255
2021-07-07 15:15:00,2021-07-07 15:30:00,0.38989999999999997,0.6759020979020979,0.04822,0.38580255
2021-07-07 15:30:00,2021-07-07 15:45:00,0.38724,0.6016680652680652,0.04822,0.38580255
2021-07-07 15:45:00,2021-07-07 16:00:00,0.38514,0.4627459207459207,0.04822,0.38580255
2021-07-07 16:00:00,2021-07-07 16:15:00,0.3829,0.4464923076923077,0.051570000000000005,0.416061574
2021-07-07 16:15:00,2021-07-07 16:30:00,0.385,0.6446433566433566,0.051570000000000005,0.416061574
2021-07-07 16:30:00,2021-07-07 16:45:00,0.39172,0.6397221445221445,0.051570000000000005,0.416061574
2021-07-07 16:45:00,2021-07-07 17:00:00,0.40222,0.42269370629370634,0.051570000000000005,0.416061574
2021-07-07 17:00:00,2021-07-07 17:15:00,0.41328,0.38349184149184146,0.0533,0.416061574
