Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,7,1,8,0,"SmartMeter",5745.9661324578128
2021,7,1,8,15,"SmartMeter",9297.9202836218665
2021,7,1,8,30,"SmartMeter",12218.674708211565
2021,7,1,8,45,"SmartMeter",9008.3844994476676
2021,7,1,9,0,"SmartMeter",12964.48060181359
2021,7,1,9,15,"SmartMeter",4297.5612603102054
2021,7,1,9,30,"SmartMeter",9059.5466724547223
2021,7,1,9,45,"SmartMeter",5204.3482035571251
2021,7,1,10,0,"SmartMeter",7600.4799261044309
2021,7,1,10,15,"SmartMeter",2210.4734495572388
2021,7,1,10,30,"SmartMeter",653.57064452378631
2021,7,1,10,45,"SmartMeter",-10899.913330123454
2021,7,1,11,0,"SmartMeter",-18237.844134481475
2021,7,1,11,15,"SmartMeter",-13701.404261239686
2021,7,1,11,30,"SmartMeter",-3971.0544434750782
2021,7,1,11,45,"SmartMeter",-12703.264161650693
2021,7,1,12,0,"SmartMeter",-4434.1712960073019
2021,7,1,12,15,"SmartMeter",-8491.3661602625089
2021,7,1,12,30,"SmartMeter",-17843.083264243425
2021,7,1,12,45,"SmartMeter",-18776.710268652918
2021,7,1,13,0,"SmartMeter",-24525.626746781345
2021,7,1,13,15,"SmartMeter",-12238.018669272093
2021,7,1,13,30,"SmartMeter",-17488.962075402524
2021,7,1,13,45,"SmartMeter",-12287.494855139703
2021,7,1,14,0,"SmartMeter",-14030.212692644276
2021,7,1,14,15,"SmartMeter",-17209.451279722631
2021,7,1,14,30,"SmartMeter",-25621.744483712937
2021,7,1,14,45,"SmartMeter",-21281.8123861597
2021,7,1,15,0,"SmartMeter",-21791.73208498249
2021,7,1,15,15,"SmartMeter",-22263.2634624415
2021,7,1,15,30,"SmartMeter",-10400.451328501709
2021,7,1,15,45,"SmartMeter",-8841.39165386291
2021,7,1,16,0,"SmartMeter",-12570.369921583835
2021,7,1,16,15,"SmartMeter",-14013.421123271899
2021,7,1,16,30,"SmartMeter",-8836.2046225756185
2021,7,1,16,45,"SmartMeter",-13436.778576831573
2021,7,1,17,0,"SmartMeter",-5038.6981372807531
2021,7,1,17,15,"SmartMeter",-2201.9298256142979
2021,7,1,17,30,"SmartMeter",-7304.614735576637
2021,7,1,17,45,"SmartMeter",-4944.79350553344
2021,7,1,18,0,"SmartMeter",-27724.660654909352
2021,7,1,18,15,"SmartMeter",-12765.476882631734
2021,7,1,18,30,"SmartMeter",3177.6563294177931
2021,7,1,18,45,"SmartMeter",9633.2762578630136
2021,7,1,19,0,"SmartMeter",4428.4472967342863
2021,7,1,19,15,"SmartMeter",8982.345591584166
2021,7,1,19,30,"SmartMeter",3325.9717059768732
2021,7,1,19,45,"SmartMeter",4804.5313538998325
2021,7,1,20,0,"SmartMeter",13441.528575190388
2021,7,1,20,15,"SmartMeter",9875.4935854601154
2021,7,1,20,30,"SmartMeter",8222.2732443328241
2021,7,1,20,45,"SmartMeter",12429.448969075846
2021,7,1,21,0,"SmartMeter",9737.7437750782337
2021,7,1,21,15,"SmartMeter",12332.360475263382
2021,7,1,21,30,"SmartMeter",13773.982951748361
2021,7,1,21,45,"SmartMeter",17511.440037277534
2021,7,1,22,0,"SmartMeter",15691.999328490661
2021,7,1,22,15,"SmartMeter",18361.796806088892
2021,7,1,22,30,"SmartMeter",15632.886349206348
2021,7,1,22,45,"SmartMeter",14946.256277056276
2021,7,1,23,0,"SmartMeter",16495.617395128589
2021,7,1,23,15,"SmartMeter",16502.120959864507
2021,7,1,23,30,"SmartMeter",16132.298552128012
2021,7,1,23,45,"SmartMeter",19044.438981379146
2021,7,2,0,0,"SmartMeter",16760.687771766818
2021,7,2,0,15,"SmartMeter",16446.797559523809
2021,7,2,0,30,"SmartMeter",15009.456216628529
2021,7,2,0,45,"SmartMeter",17681.119078947373
2021,7,2,1,0,"SmartMeter",12861.798227483898
2021,7,2,1,15,"SmartMeter",13667.297645130928
2021,7,2,1,30,"SmartMeter",14121.826330532213
2021,7,2,1,45,"SmartMeter",11310.115233785822
2021,7,2,2,0,"SmartMeter",8740.94628647215
