Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,2,1,30,"SmartMeter",23126.385312205275
2021,1,2,1,45,"SmartMeter",28108.796572406383
2021,1,2,2,0,"SmartMeter",29473.188069462056
2021,1,2,2,15,"SmartMeter",30598.00655786692
2021,1,2,2,30,"SmartMeter",30817.56966298513
2021,1,2,2,45,"SmartMeter",30335.922848435112
2021,1,2,3,0,"SmartMeter",32670.704667846039
2021,1,2,3,15,"SmartMeter",30134.640637593664
2021,1,2,3,30,"SmartMeter",23554.521903214154
2021,1,2,3,45,"SmartMeter",26863.277959976385
2021,1,2,4,0,"SmartMeter",26733.184224829249
2021,1,2,4,15,"SmartMeter",30033.216164897422
2021,1,2,4,30,"SmartMeter",29227.366670756142
2021,1,2,4,45,"SmartMeter",28112.642149465468
2021,1,2,5,0,"SmartMeter",28157.631838697303
2021,1,2,5,15,"SmartMeter",31983.283866579506
2021,1,2,5,30,"SmartMeter",32570.171584653846
2021,1,2,5,45,"SmartMeter",31555.027521008404
2021,1,2,6,0,"SmartMeter",35308.295269306225
2021,1,2,6,15,"SmartMeter",32349.323653198655
2021,1,2,6,30,"SmartMeter",35913.459558652728
2021,1,2,6,45,"SmartMeter",39683.728571428568
2021,1,2,7,0,"SmartMeter",28315.431565656563
2021,1,2,7,15,"SmartMeter",26338.122438672443
2021,1,2,7,30,"SmartMeter",28563.737062608012
2021,1,2,7,45,"SmartMeter",26501.625706256342
2021,1,2,8,0,"SmartMeter",28598.54092057902
2021,1,2,8,15,"SmartMeter",37630.586294004795
2021,1,2,8,30,"SmartMeter",39862.75574252136
2021,1,2,8,45,"SmartMeter",38911.959145709552
2021,1,2,9,0,"SmartMeter",38139.438490932131
2021,1,2,9,15,"SmartMeter",36203.923698653736
2021,1,2,9,30,"SmartMeter",35755.902719108155
2021,1,2,9,45,"SmartMeter",36576.8316160978
2021,1,2,10,0,"SmartMeter",47661.610500738469
2021,1,2,10,15,"SmartMeter",41337.634105518111
2021,1,2,10,30,"SmartMeter",40146.138650427245
2021,1,2,10,45,"SmartMeter",40290.719133483384
2021,1,2,11,0,"SmartMeter",45520.93156566369
2021,1,2,11,15,"SmartMeter",48428.219926398015
2021,1,2,11,30,"SmartMeter",43673.476440724138
2021,1,2,11,45,"SmartMeter",43452.298800501922
2021,1,2,12,0,"SmartMeter",51297.762543876037
2021,1,2,12,15,"SmartMeter",61024.336264365767
2021,1,2,12,30,"SmartMeter",60291.374139372281
2021,1,2,12,45,"SmartMeter",55032.538856449661
2021,1,2,13,0,"SmartMeter",50754.120010057646
2021,1,2,13,15,"SmartMeter",44697.488519278348
2021,1,2,13,30,"SmartMeter",52328.242909831206
2021,1,2,13,45,"SmartMeter",56975.728071996753
2021,1,2,14,0,"SmartMeter",50350.18243057566
2021,1,2,14,15,"SmartMeter",47008.906842299781
2021,1,2,14,30,"SmartMeter",51996.915499726092
2021,1,2,14,45,"SmartMeter",50652.688607678894
2021,1,2,15,0,"SmartMeter",45549.421667945571
2021,1,2,15,15,"SmartMeter",44390.453224644007
2021,1,2,15,30,"SmartMeter",51520.472205483529
2021,1,2,15,45,"SmartMeter",51269.20346623021
2021,1,2,16,0,"SmartMeter",44652.3403648639
2021,1,2,16,15,"SmartMeter",46103.777106094109
2021,1,2,16,30,"SmartMeter",46947.615295965363
2021,1,2,16,45,"SmartMeter",50944.891250114342
2021,1,2,17,0,"SmartMeter",46429.309215965091
2021,1,2,17,15,"SmartMeter",44386.089037335376
2021,1,2,17,30,"SmartMeter",39637.037605683632
2021,1,2,17,45,"SmartMeter",48164.084186828259
2021,1,2,18,0,"SmartMeter",45843.78896312022
2021,1,2,18,15,"SmartMeter",52223.855086580093
2021,1,2,18,30,"SmartMeter",61090.425313978754
2021,1,2,18,45,"SmartMeter",50899.66928188796
2021,1,2,19,0,"SmartMeter",53132.023685758679
2021,1,2,19,15,"SmartMeter",50528.185121184979
2021,1,2,19,30,"SmartMeter",50919.949681020495
2021,1,2,19,45,"SmartMeter",44994.299151792467
2021,1,2,20,0,"SmartMeter",49004.959132999618
2021,1,2,20,15,"SmartMeter",42560.171605284871
2021,1,2,20,30,"SmartMeter",46229.335048173089
2021,1,2,20,45,"SmartMeter",35330.991504568949
